symbol,name,industry,index
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY200
GROWW,Billionbrains Garage Ventures Ltd.,Financial Services,NIFTY200
BIOCON,Biocon Ltd.,Healthcare,NIFTY200
BLUESTARCO,Blue Star Ltd.,Consumer Durables,NIFTY200
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,NIFTY200
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,NIFTY200
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,NIFTY200
CANBK,Canara Bank,Financial Services,NIFTY200
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,NIFTY200
CIPLA,Cipla Ltd.,Healthcare,NIFTY200
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,NIFTY200
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,NIFTY200
COFORGE,Coforge Ltd.,Information Technology,NIFTY200
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,NIFTY200
CONCOR,Container Corporation of India Ltd.,Services,NIFTY200
COROMANDEL,Coromandel International Ltd.,Chemicals,NIFTY200
CUMMINSIND,Cummins India Ltd.,Capital Goods,NIFTY200
DLF,DLF Ltd.,Realty,NIFTY200
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,NIFTY200
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,NIFTY200
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,NIFTY200
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,NIFTY200
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,NIFTY200
ETERNAL,Eternal Ltd.,Consumer Services,NIFTY200
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components,NIFTY200
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,NIFTY200
FEDERALBNK,Federal Bank Ltd.,Financial Services,NIFTY200
FORTIS,Fortis Healthcare Ltd.,Healthcare,NIFTY200
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,NIFTY200
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,NIFTY200
GMRAIRPORT,GMR Airports Ltd.,Services,NIFTY200
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,NIFTY200
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,NIFTY200
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,NIFTY200
GODREJPROP,Godrej Properties Ltd.,Realty,NIFTY200
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY200
HCLTECH,HCL Technologies Ltd.,Information Technology,NIFTY200
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,NIFTY200
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,NIFTY200
HAVELLS,Havells India Ltd.,Consumer Durables,NIFTY200
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,NIFTY200
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,NIFTY200
